Dataset,Model,Metric,Score
adult,RF,Accuracy,0.8552195526097763
adult,LR,Accuracy,0.8162800331400166
adult,NN,Accuracy,0.8409279204639603
travel,RF,Accuracy,0.8321678321678322
travel,LR,Accuracy,0.7972027972027972
travel,NN,Accuracy,0.8251748251748252
us_location,RF,Accuracy,0.9911151960784313
us_location,LR,Accuracy,0.5186887254901961
us_location,NN,Accuracy,0.9761029411764706
bejing,RF,MAPE,3.3246611879816186
bejing,LR,MAPE,3.635705276205764
bejing,NN,MAPE,3.713736001726085
california_housing,RF,MAPE,2.70560615208549
california_housing,LR,MAPE,2.6812924711094017
california_housing,NN,MAPE,2.5540216841212025
seattle_housing,RF,MAPE,2.0207574736451144
seattle_housing,LR,MAPE,2.0350071000742203
seattle_housing,NN,MAPE,2.1029102117479272
